Crop Name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Rice,100,105,110,115,120,125,130,135,140,145,150,155
Maize,80,82,85,88,90,93,95,97,100,103,105,108
Jute,70,72,75,77,80,83,85,87,90,93,95,97
Cotton,90,92,95,97,100,102,105,108,110,113,115,118
Coconut,200,205,210,215,220,225,230,235,240,245,250,255
Papaya,50,52,55,57,60,62,65,67,70,72,75,77
Orange,120,125,130,135,140,145,150,155,160,165,170,175
Apple,150,155,160,165,170,175,180,185,190,195,200,205
Muskmelon,90,95,100,105,110,115,120,125,130,135,140,145
Watermelon,100,105,110,115,120,125,130,135,140,145,150,155
Grapes,180,185,190,195,200,205,210,215,220,225,230,235
Mango,250,255,260,265,270,275,280,285,290,295,300,305
Banana,50,52,55,57,60,62,65,67,70,72,75,77
Pomegranate,200,205,210,215,220,225,230,235,240,245,250,255
Lentil,70,72,75,77,80,83,85,88,90,93,95,97
Blackgram,60,62,65,67,70,72,75,77,80,82,85,87
Mungbean,65,67,70,72,75,77,80,82,85,87,90,92
Mothbeans,50,52,55,57,60,62,65,67,70,72,75,77
Pigeonpeas,100,105,110,115,120,125,130,135,140,145,150,155
Kidneybeans,120,125,130,135,140,145,150,155,160,165,170,175
Chickpea,80,85,90,95,100,105,110,115,120,125,130,135
Coffee,200,210,220,230,240,250,260,270,280,290,300,310
